Wall time,Step,Value
1682348838.7779136,2560,-2.289189577102661
1682348884.1968026,5120,-0.7426580190658569
1682348929.7234867,7680,-1.3978921175003052
1682349150.3648355,10240,-1.1724644899368286
1682349195.0313275,12800,-0.944733738899231
1682349240.532707,15360,-0.6347225308418274
1682349285.1615958,17920,-0.4331585168838501
1682349503.837392,20480,-0.47185495495796204
1682349548.6326632,23040,-0.5538449883460999
1682349594.1695511,25600,-0.482045441865921
1682349639.4243343,28160,-0.39901721477508545
1682349859.2059724,30720,-0.23960232734680176
1682349904.7685287,33280,-0.056340545415878296
1682349950.010873,35840,-0.05342668667435646
1682349995.54203,38400,0.18165647983551025
1682350218.5006895,40960,0.19747167825698853
1682350264.9256878,43520,0.2857871651649475
1682350311.567196,46080,0.3686644434928894
1682350355.2807436,48640,0.4857741892337799
1682350577.1596386,51200,0.5304304957389832
1682350622.0848427,53760,0.5508947372436523
1682350669.5245204,56320,0.45597895979881287
1682350715.1061852,58880,0.5103967189788818
1682350938.0413435,61440,0.5157170295715332
1682350984.4695091,64000,0.4665555953979492
1682351030.4940956,66560,0.3943179249763489
1682351075.9672875,69120,0.44088730216026306
1682351284.2557185,71680,0.48116979002952576
1682351330.9402788,74240,0.531318724155426
1682351376.4962363,76800,0.3922021985054016
1682351422.4271472,79360,0.3252395689487457
1682351644.621587,81920,0.2879064977169037
1682351689.9802625,84480,0.31112998723983765
1682351736.1456597,87040,0.28857049345970154
1682351782.1289072,89600,0.303177148103714
1682351991.434613,92160,0.31028395891189575
1682352036.4836724,94720,0.317690908908844
1682352082.9577534,97280,0.3614557087421417
1682352128.9324782,99840,0.39896032214164734
1682352344.0406718,102400,0.47613024711608887
1682352389.7156363,104960,0.4799346923828125
1682352435.7025397,107520,0.6029804348945618
1682352657.0617175,110080,0.591194212436676
1682352703.0038903,112640,0.61637943983078
1682352748.9963005,115200,0.628829836845398
1682352792.5257523,117760,0.6200351715087891
1682353015.9260824,120320,0.6911268830299377
1682353061.5618856,122880,0.7955182790756226
1682353107.25665,125440,0.8246009945869446
1682353153.3134995,128000,0.7269730567932129
1682353361.2638483,130560,0.7487659454345703
1682353407.5173252,133120,0.6779919862747192
1682353452.9705615,135680,0.7126885652542114
1682353499.5549212,138240,0.7347803711891174
1682353720.4436378,140800,0.7069283723831177
1682353766.8903074,143360,0.696034848690033
1682353812.4999034,145920,0.7073808908462524
1682353858.3714397,148480,0.604598343372345
1682354080.9418118,151040,0.6511414647102356
1682354126.641079,153600,0.6837419867515564
1682354172.3659832,156160,0.7308454513549805
1682354217.7482245,158720,0.7106738686561584
1682354420.2076962,161280,0.7508789896965027
1682354465.8029792,163840,0.8099616169929504
1682354511.4008832,166400,0.8739044666290283
1682354557.5484955,168960,0.880852997303009
1682354781.568241,171520,0.8983292579650879
1682354824.7571342,174080,0.9186340570449829
1682354871.2064047,176640,0.9912893176078796
1682354916.7785547,179200,1.0477538108825684
1682355137.5682695,181760,1.099931001663208
