Wall time,Step,Value
1682386942.1453733,2560,-0.8209649920463562
1682386987.8091736,5120,-0.8337851762771606
1682387033.0835392,7680,-0.6856785416603088
1682387252.447564,10240,-0.5181301236152649
1682387297.3851812,12800,-0.39093634486198425
1682387343.0998907,15360,-0.23768506944179535
1682387388.1991043,17920,-0.30267518758773804
1682387606.2816694,20480,-0.2998453378677368
1682387652.373311,23040,-0.0839926078915596
1682387697.3024473,25600,-0.02438604086637497
1682387742.7635272,28160,0.12084324657917023
1682387962.0304391,30720,0.17398619651794434
1682388007.730677,33280,0.2958422005176544
1682388052.7596877,35840,0.28442496061325073
1682388099.0904295,38400,0.3722292184829712
1682388315.9876757,40960,0.2896893322467804
1682388361.5243418,43520,-0.018388766795396805
1682388407.2972937,46080,0.037529196590185165
1682388451.7075734,48640,0.10427862405776978
1682388672.7440276,51200,0.18435534834861755
1682388718.5125015,53760,0.2191261202096939
1682388764.961761,56320,0.11633260548114777
1682388809.9682736,58880,0.13971823453903198
1682389028.1004388,61440,0.150627002120018
1682389074.2935672,64000,0.18355703353881836
1682389119.4594605,66560,0.24382942914962769
1682389164.8758597,69120,0.29010123014450073
1682389499.010077,71680,0.3153012990951538
1682389544.8449392,74240,0.38080042600631714
1682389589.9208362,76800,0.4109470248222351
1682389635.6143227,79360,0.4072398543357849
1682389857.174996,81920,0.5441590547561646
1682389903.4606767,84480,0.4933781325817108
1682389948.827659,87040,0.5309295058250427
1682389994.8500075,89600,0.5606403350830078
1682390167.142,92160,0.5433867573738098
1682390213.7468514,94720,0.7849650382995605
1682390259.3407488,97280,0.7959349751472473
1682390305.9560678,99840,1.0460630655288696
1682390525.6207888,102400,1.3122997283935547
1682390571.0514362,104960,1.424278736114502
1682390617.2967424,107520,1.4388455152511597
1682390762.4779172,110080,1.1270546913146973
1682390807.8978376,112640,1.198978066444397
1682390852.6418996,115200,1.2490675449371338
1682390897.8881419,117760,1.1942532062530518
1682391105.345627,120320,1.211031436920166
1682391149.6805992,122880,1.3062655925750732
1682391195.1388497,125440,1.3286628723144531
1682391240.2024896,128000,1.3461295366287231
1682391409.6000147,130560,1.3411691188812256
1682391455.4370964,133120,1.2694206237792969
1682391500.9861753,135680,1.3337615728378296
1682391547.4315238,138240,1.3570361137390137
1682391753.7807655,140800,1.2432568073272705
1682391800.0526743,143360,1.2466721534729004
1682391843.715714,145920,1.1207225322723389
1682391890.111718,148480,0.852165162563324
1682392101.203341,151040,0.9061760306358337
1682392146.1914282,153600,0.9420228600502014
1682392192.2968025,156160,0.9286802411079407
1682392238.423783,158720,1.0178945064544678
1682393219.023913,161280,0.7970808148384094
1682393264.2066803,163840,0.8062922358512878
1682393310.5117972,166400,0.621208906173706
1682393356.2478151,168960,0.5729666948318481
